Section depth,d1,Clear Cover,lc,a,a/d1,D_l,fyl,rho_l,D_t,s,fyt,rho_tv,rho_t,s/d1,f'c,Axial load(P),Axial load ratio,Vp1/Vo1,ln/h,rholfyl/fc,rhotfyt/fc,theta_y,theta_c,theta_u,V_y,V_c,V_u,theta_E,V_E,a,b,c
19.685,17.697,1.38,68.898,68.898,3.893202238,0.511811024,46835,0.021237251,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,4613.9,0,0,0.775726339,3.5000254,0.215576118,0.01627138,0.008888051,0.017982815,0.026794081,218.1,220.3227711,176.2582169,0.036372609,55.08069278,0.01790603,0.027484558,55.08069278
19.685,17.697,1.38,68.898,68.898,3.893202238,0.511811024,46835,0.021237251,0.354330709,10,37468,0.004659658,0.002003697,0.565067526,4825.6,0,0,0.768457437,3.5000254,0.206118752,0.015557551,0.005710243,0.013659976,0.029314011,199.83,230.0342148,184.0273718,0.041334074,103.8832628,0.023603768,0.035623831,103.8832628
19.685,17.697,1.38,45.669,45.669,2.580606883,0.511811024,46835,0.021237251,0.354330709,1.968503937,37468,0.023671062,0.010178781,0.111233765,4786.45,0,0,0.376290915,2.31998984,0.207804667,0.079678795,0.006151471,0.009939784,0.027232656,282.25,384.535,307.628,0.041997854,93.14179392,0.021081185,0.035846383,93.14179392
7.874,6.811007874,0.57,19.685,19.685,2.890174313,0.512,63003.95,0.019924629,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,2840.55,17.642304,0.100175621,0.716499831,2.5,0.441932136,0.080631373,0.004289651,0.017175768,0.026258573,56.12,72.1493147,57.71945176,0.021789942,66.65596563,0.021968922,0.017500291,66.65596563
7.874,6.811007874,0.57,19.685,19.685,2.890174313,0.512,63003.95,0.019924629,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,2840.55,17.642304,0.100175621,0.716499831,2.5,0.441932136,0.080631373,0.004850607,0.012494031,0.016388113,53.64,68.96120079,55.16896064,0.016325883,67.24455145,0.011537506,0.011475276,67.24455145
7.874,6.811007874,0.57,19.685,19.685,2.890174313,0.512,63003.95,0.019924629,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,2840.55,35.284608,0.200351241,0.75763557,2.5,0.441932136,0.080631373,0.004779342,0.012443993,0.015585471,60.21,78.4274597,62.74196776,0.016676149,76.36745379,0.010806129,0.011896807,76.36745379
7.874,6.811007874,0.57,19.685,19.685,2.890174313,0.512,63003.95,0.026566171,0.236220472,3.937007874,81005.265,0.006613709,0.002827439,0.578036019,2840.55,35.284608,0.200351241,0.797814843,2.5,0.589242826,0.080631373,0.005023488,0.012313691,0.012593345,61.8,77.44649815,61.95719852,0.012313691,77.44649815,0.007569857,0.007290203,77.44649815
7.874,6.811007874,0.63,19.685,19.685,2.890174313,0.394,50003.25,0.019664889,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,2840.55,17.642304,0.100175621,0.659774163,2.5,0.346168299,0.068685984,0.003113238,0.007393955,0.024262129,39.81,54.73736958,43.78989567,0.023800356,46.29624285,0.021148891,0.020687118,46.29624285
7.874,6.811007874,0.63,19.685,19.685,2.890174313,0.394,50003.25,0.019664889,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,2840.55,35.284608,0.200351241,0.717816531,2.5,0.346168299,0.068685984,0.003960478,0.018070866,0.028194056,61.66,64.93931628,51.95145303,0.018070866,64.93931628,0.024233578,0.014110388,64.93931628
7.874,6.811007874,0.63,19.685,19.685,2.890174313,0.394,50003.25,0.019664889,0.236220472,3.937007874,69004.485,0.006731696,0.002827439,0.578036019,2840.55,35.284608,0.200351241,0.717816531,2.5,0.346168299,0.068685984,0.003588324,0.018976886,0.019110998,58.47,63.61499818,50.89199854,0.018976886,63.61499818,0.015522674,0.015388562,63.61499818
7.874,7.087,0.29,23.622,23.622,3.333145195,0.512,67004.5,0.019924629,0.236220472,3.937007874,47003.055,0.00611255,0.002827439,0.55552531,2550.55,35.284608,0.223131371,0.996567277,3,0.523432124,0.05210573,0.006200535,0.019954068,0.021518076,55.45,64.54694056,51.63755245,0.019954068,64.54694056,0.015317541,0.013753533,64.54694056
7.874,7.087,0.29,15.748,15.748,2.222096797,0.512,67004.5,0.019924629,0.236220472,3.937007874,47003.055,0.00611255,0.002827439,0.55552531,2550.55,35.284608,0.223131371,1.192182558,2,0.523432124,0.05210573,0.005074584,0.014691072,0.016059182,45.3,105.6980394,84.55843155,0.014691072,105.6980394,0.010984598,0.009616488,105.6980394
7.874,7.087,0.29,23.622,23.622,3.333145195,0.512,67004.5,0.019924629,0.236220472,7.874015748,47003.055,0.003056275,0.00141372,1.111050621,2550.55,88.21152,0.557828428,1.250263148,3,0.523432124,0.026052874,0.010434132,0.014424477,0.017051901,81.52,83.03793003,66.43034403,0.014424477,83.03793003,0.006617769,0.003990345,83.03793003
7.874,7.087,0.43,31.496,15.748,2.222096797,0.394,55004.3,0.011798934,0.157480315,4.724409449,94006.11,0.002352888,0.0010472,0.666630372,4770.5,35.284608,0.119297289,0.781382261,4,0.136042785,0.020635824,0.020948438,0.040150178,0.039649479,73.58,75.09219934,60.07375947,0.040150178,75.09219934,0.018701041,0.01920174,75.09219934
